ANEXO I - NOMENCLADOR GENERAL APROSS
Código	Descripción	Valor
020107	ASPIRACION LAVADO E IMPLANTE DEL VITREO	 $  57.941 
020108	VITRECTOMIA	 $  267.974 
020109	TRATAMIENTO QUIRURGICO CORRECTIVO DEL ESTRABISMO	 $  177.552 
020201	RECONSTRUCCION TOTAL DEL PARPADO TECNICA DE HUGJES O SIMILAR	 $  78.956 
020202	BLEFAROPLASTIA	 $  39.471 
020203	BLEFARORRAFIA PARCIAL O TOTAL	 $  23.355 
020204	BLEFAROCHALASIS	 $  24.974 
020205	ESCISION DE LESION DE PARPADOS BLEFARECTOMIA BLEFAROTOMIA	 $  23.355 
020206	TRATAMIENTO DEL BLEFAROSPASMO CON TOXINA BOTULINICA NO INCLUYE MEDICAMENTO	 $  44.545 
020301	CONJUNTIVOPLASTIA-PTERIGION-CHALAZION	 $  66.728 
020302	ESCISION DE LESION CONJUNTIVA	 $  29.712 
020303	INTRODUCCION DE SUSTANCIAS TERAPEUTICAS SUBCONJUNTIVALES	 $  12.101 
020304	INYECCION DE SUSTANCIAS ANTIANGIOGÉNICAS EN CAMARA POSTERIOR	 $  36.987 
020305	SUTURA DE CONJUNTIVA	 $  23.973 
020403	SUTURA DE CORNEA	 $  63.190 
020404	QUERATOCENTESIS/CAUTERIZACION CORNEAL	 $  63.190 
020406	SUTURA DE HERIDA DE CORNEA PROLAPSO DE IRIS Y-O HERIDA CRISTALINO EXTRACC CUERPO EXTRANO CAMARA ANT	 $  95.409 
020501	TRATAMIENTO QUIRURGICO DEL GLAUCOMA	 $  138.497 
020502	IRIDOTOMIA COREOPLASTIA IRIDECTOMIA	 $  63.852 
020503	IRIDOCICLECTOMIA O CICLECTOMIA POR TUMORES	 $  74.382 
020601	FOTOCOAGULACION CONVENCIONAL - YAG LASER	 $  33.273 
020602	FOTOCOAGULACION CON LASER ARGON	 $  33.273 
020603	RETINOPEXIA CON ESCLERECTOMIA E IMPLANTE	 $  277.584 
020606	ESCLERECTOMIA CON EXTRACCION DE CUERPO EXTRANO	 $  78.956 
020701	EXTRACCION DEL CRISTALINO O MASAS CRISTALINEANAS	 $  94.374 
020703	CAPSULOTOMIA	 $  31.663 
020704	IMPLANTE DE LENTE INTRAOCULAR EN FORMA EXTRACAPSULAR	 $  210.663 
020705	IMPLANTE DE MEMBRANA AMNIOTICA SOLO EN QUEMADURAS IGNEAS O QUIMICAS	 $  92.814 
020706	EXIMER LASER UNILATERAL	 $  107.960 
020707	CIRUGIA DE CATARATAS CON L.I.O. TECNICA FACOEMULSIFICACION INCLUYE LENTE	 $  210.663 
020708	QUERATOPLASTIA RADIAL	 $  33.252 
020709	CIRUGIA DE CATARATA CONGÉNITA POR FACOEMULSIFICACIÓN UNILATERAL	 $  273.418 
020801	DACRIOCISTORRINOSTOMIA FISTULIZACION DE SACO LAGRIMAL EN CAVIDAD NASAL, PLOMBAJE	 $  106.422 
020802	ESCISION DE GLANDULA LAGRIMAL	 $  94.744 
020803	DRENAJE DE GLANDULA O SACO LAGRIMAL	 $  9.965 
020804	CATETERIZACION DE CONDUCTO LAGRIMO NASAL	 $  63.244 
020901	IMPLANTE DE ANILLOS CORNEALES	 $  244.132 
020902	CROSS LINKING	 $  115.758 
020904	CIRUGÌA COLOCACIÒN LENTE FAQUICA	 $  192.682 
	OPERACIONES OTORRINOLARINGOLOGICAS 	
030101	RECONSTRUCCION DEL PABELLON AURICULAR CON INJERTO DE CARTILAGO Y PIEL	 $  178.676 
030102	OTOPLASTIA O RECONSTRUCCION DEL PABELLON ANSIFORME O DEFECTO SIMILAR	 $  78.795 
030103	OTOPLASTIA DE LOBULO HENDIDO	 $  106.605 
030104	ESCISION COMPLETA O AMPUTACION DE PABELLON	 $  72.843 
030105	INSICION Y DRENAJE DE AURICULA. SUTURA DEL PABELLON AURICULAR	 $  85.387 
030106	CIRUGIA DE AGENESIA DE CONDUCTO AUDITIVO EXTERNO	 $  336.052 
030107	RESECCION DE OSTEOMA	 $  39.867 
030108	EXTIRPACION DE COLOBOMA AURIS	 $  100.741 
030109	ESCISION DE LESION LOCAL DE CONDUCTO AUDITIVO EXTERNO. BIOPSIA DE OIDO EXTERNO	 $  8.350 
030201	MIRINGOPLASTIA	 $  129.954 
030202	TIMPANOPLASTIA	 $  182.154 
030203	MIRINGOTOMIA CON O SIN COLOCACION DE TUBO DRENAJE	 $  14.304 
030204	CIRUGIA PLASTICA POR AGENESIA DE OIDO MEDIO	 $  310.875 
030206	ESTAPEDECTOMIA	 $  163.749 
030207	MASTOIDECTOMIA SIMPLE O RADICAL	 $  146.813 
030208	ANTROTOMIA MASTOIDEA CIERRE DE FISTULA MASTOIDEA	 $  72.843 
030209	PUNCION DE ANTRO MASTOIDEO	 $  14.304 
030211	CIRUGIA DE 2DA Y 3RA PORCIONES NERVIO FACIAL	 $  324.211 
030301	LABERINTECTOMIA	 $  201.769 
030303	CIRUGIA DEL SACO ENDOLINFATICO	 $  273.430 
030304	CIRUGIA DEL CONDUCTO AUDITIVO INTERNO Y SU CONTENI	 $  325.083 
030305	TRATAMIENTO QUIRURGICO DE FRACTURA DEL PENASCO	 $  218.361 
030306	CIRUGIA DEL NEURINOMA DEL ACUSTICO - 2 EQUIPOS QUIRURGICOS	 $  1.036.127 
030361	PRE- IMPLANTE COCLEAR	 $  65.974 
030362	CX DE IMPLANTE COCLEAR	 $  929.928 
030364	POST- IMPLANTE COCLEAR	 $  109.214 
030401	ATRESIA DE COANAS PERMEABILIZACION POR ACCESO PALATINO	 $  133.507 
030403	RECONSTRUCCION DIFERIDA DE PIRAMIDE NASAL	 $  173.064 
030405	ESCISION DE TUMORES ENDONASALES	 $  131.724 
030406	RESECCION DE LESION LOCAL ENDONASAL	 $  26.553 
030407	ESCISION DE POLIPO RETRO-COANAL	 $  26.553 
030408	RINOPLASTIA CON INJERTO CUTANEO PEDICULADO -CON AUTORIZACION PREVIA-	 $  98.001 
030409	SEPTUMPLASTIA POR IMPLANTACION DE CARTILAGO AUTOGENO -CON AUTORIZACION PREVIA-	 $  140.286 
030410	SEPTUMPLASTIA POR PERFORACION O IMPLANTACION DE ACRILICO EN FOSASNASALES -CON AUTORIZACION PREVIA-	 $  140.114 
030411	RESECCION DE TABIQUE NASAL OPERACION DE KILLIAN	 $  76.050 
030412	TURBINECTOMIA PARCIAL O COMPLETA SIMPLE	 $  45.360 
030413	SUTURA DE NARIZ BIOPSIA DE NARIZ	 $  12.131 
030414	RESECCION DE POLIPOS ENDOSINUSALES POR ANTROTOMIA POR VIDEOENDOSCOPIA 	 $  59.302 
030505	SINUSOTOMIA FRONTAL EXTERNA SIMPLE - TREPANOPUNCION - FRONTAL -ETMOIDAL -ESFENOIDAL	 $  83.253 
030508	ETMOIDECTOMIA INTERNA	 $  158.240 
030509	CIRUGIA DE TUMORES ETMOIDALES	 $  204.775 
030510	ANTROTOMIA MAXILAR RADICAL SINUSOTOMIA MAXILAR RADICAL CUALQUIER TECNICA	 $  73.296 
030512	SINUSOTOMIA MAXILAR SIMPLE VENTANA ANTRAL	 $  81.439 
030513	CIERRE DE FISTULA ORAL DE SENO MAXILAR CON COLGAJOS LOCALES  POR VIDEOENDOSCOPIA	 $  59.302 
030514	CIERRE DE FISTULA ORAL DE SENO MAXILAR	 $  80.010 
030515	PUNCION DE SENO CON O SIN INSERCION DE SONDA. BIOPSIA DE SENO PARANASAL	 $  38.492 
030516	CIRUGIA DE LA FOSA PTERIGOMAXILAR EXPLOR	 $  126.506 
030517	SINUSOTOMIA COMBINADA BILATERAL ENDOSCOPICA	 $  219.228 
030519	CIRUGIA DE LA FOSA PTERIGOMAXILAR CON VIDEOFIBROSCOPIA	 $  209.465 
030604	LARINGECTOMIA PARCIAL O TOTAL  CON O SIN VACIAMIENTO GANGLIONAR	 $  396.830 
030605	LARINGOPLASTIA CORDOPEXIA ARITENOIDEOPEXIA	 $  267.026 
030606	LARINGOTOMIA MEDIANA E INFERIOR LARINGOFISURA-TIROTOMIA-CRICOTIROTOMIA-LARINGORAFIA	 $  122.755 
030607	INSICION Y DRENAJE DE LARINGE ABCESO PERICONDRITIS	 $  24.457 
030608	MICROCIRUGIA DE LARINGE CUALQUIER TECNICA	 $  222.766 
030701	INCISION Y DRENAJE DE LESION ORIGEN DENTARIO	 $  12.069 
030702	EXTIRPACION DE GERMEN DENTARIO AMELOBLASTOMA	 $  78.942 
030703	GINGIVECTOMIA PARCIAL TUMORES	 $  71.644 
030704	GINGIVECTOMIA TOTAL AMPLIADA TUMORES	 $  97.821 
030705	OPERACION COMANDO DE ENCIA O DE TRIGONO RETROMOLAR MAS VACIAMIENTO GANGLIONAR CERVICAL	 $  432.907 
030706	BIOPSIA DE ENCIA SUTURA DE ENCIA	 $  10.104 
030801	PAROTIDECTOMIA TOTAL	 $  331.874 
030802	OPERACION COMANDO DE PAROTIDA	 $  504.969 
030803	PAROTIDECTOMIA DEL LOBULO SUPERFICIAL	 $  281.416 
030804	ESCISION RADICAL DE GLANDULA SUBMAXILAR	 $  147.187 
030805	OPERACION COMANDO DE GLANDULA SUBMAXILAR	 $  382.404 
030806	INSICION Y DRENAJE DE GLANDULA PAROTIDA SUBMAXILAR O SUS CONDUCTOS	 $  84.883 
030807	BIOPSIA DE GLANDULA SALIVAL EXTRACCION INCISIONAL DE CALCULOS SALIVALES	 $  29.319 
