ANEXO I - NOMENCLADOR GENERAL APROSS
Código	Descripción	Valor
070601	EMBOLECTOMIA EN ARTERIAS PERIFERICAS	 $  285.520 
070602	TROMBOENDARTERECTOMIA DE VASOS PERIFERICOS	 $  187.002 
070603	DERIVACION BY-PASS DE VASOS PERIFERICOS CON INJERTO	 $  532.192 
070605	TRATAMIENTO DEL ANEURISMA O DE LAS FISTULAS ARTERIOVENOSAS	 $  251.142 
070606	ANASTOMOSIS ARTERIAL ARTERIORRAFIA	 $  143.072 
070607	SHUNT O FISTULA ARTERIOVENOSA PERIFERICA PARA HEMODIALISIS O FLEBOTOMIA PARA COLOCACION DE CATETER IMPLANTABLE	 $  131.527 
070608	DISECCION DE ARTERIAS PARA PERFUSION REGIONAL	 $  91.629 
070609	PUNCION ARTERIAL PARA INYECCION MEDICAMENTOSA	 $  11.211 
070610	LIGADURA UNILATERAL DE TRONCOS VENOSOS PROFUNDOS	 $  92.996 
070611	TROMBECTOMIA VENOSA PROFUNDA	 $  114.108 
070612	SAFENECTOMIA INTERNA Y/O EXTERNA CON LIGADURAS Y/O RESECCIONES ECALONADAS	 $  96.999 
070613	SAFENECTOMIA INTERNA/EXTERNA BIL.	 $  96.999 
070614	OPERACION DE LINTON GOCKETT O SIMILARES	 $  146.245 
070615	FLEBOTOMIA CON COLOCACION DE CATETER	 $  18.711 
070616	FLEBECTOMIA SEGMENTARIA POR VARICES RESIDUALES	 $  102.101 
070617	COLOCACION CATETER TUNELIZADO	 $  23.272 
070619	EXTRACCION CATETER TUNELIZADO	 $  34.196 
070620	EXTRACCION DE CATETER SEMIIMPLANTABLE	 $  20.922 
070621	COLOCACION CATETER DOBLE LUMEN P/HEMODIA	 $  55.213 
070701	CATETERISMO CARDIACO DERECHO Y CORONARIOGRAFIA	 $  156.707 
070705	AORTOGRAFIA POR CATETERISMO CON O SIN ESTUDIO SELECTIVO DE CUALQUIERA DE SUS RAMAS TORACICAS O ABDOMINALES	 $  142.541 
070706	TEST DE VASORREACTIVIDAD PULMONAR PARA CARDIOPATIAS CONGENITAS	 $  72.996 
070709	CAVOGRAFIA ABDOMINAL Y/O TORACICA	 $  123.425 
070712	ARTERIOGRAFIA DE MIEMBRO INFERIORES POR CATETERISMO	 $  166.118 
070713	FLEBOGRAFIA SUPRARRENAL BILATERAL	 $  123.425 
070714	ARTERIOGRAFIA PERIFERICA POR PUNCION	 $  166.118 
070715	EMBOLIZACION SELECTIVA TERAPEUTICA	 $  595.322 
070716	FLEBOGRAFIA DE MIEMBRO INFERIOR O SUPERIOR	 $  53.730 
070719	ANGIOGRAFIA DIGITAL DE LOS VASOS DEL CUELLO Y CEREBRALES	 $  166.118 
070721	ABLACION POR RADIOFRECUENCIA -INCLUYE EST. ELECTROFISIOLOGICO-	 $  404.761 
070722	ANGIOGRAFIA DIGITAL CEREBRAL O DE VASOS DEL CUELLO	 $  160.160 
070723	BIOPSIA ENDOMIOCARDICA	 $  227.285 
070724	ANGIOGRAFIA FISTULA HEMODIALISIS	 $  41.702 
070725	ABLACION QUIRURGICA DE FOCO ECTOPICO (COMO UNICA OPERACION)	 $  998.416 
070727	ABLACION QUIRURGICA DE FOCO ECTOPICO (COMO COMPLEMENTO DE OTRO PROC.QUIR.)	 $  225.474 
070730	TTO DE ARRITMIAS CARDIACAS CON ABLACION POR RADIOFRECUENCIA GUIADA CON NAVEGACION ELECTROANATOMICA	 $  1.387.828 
070801	ANGIOPLASTIA TRANSLUMINAL CORONARIA	 $  703.878 
070803	ANGIOPLASTIA TRASLUMINAL CORONARIA CON ROTABLATOR / SIMPSON	 $  703.875 
070806	ANGIOPLASTIA TRANSLUMINAL PERIFERICA	 $  610.006 
070810	CIERRE DE DUCTUS POR CATETERISMO	 $  1.911.865 
	OPERACIONES DEL APARATO DIGESTIVO Y ABDOMEN	
080101	ESOFAGUECTOMIA TOTAL, SUB TOTAL O SEGMENTARIA Y RECONSTRUCCION EN UN TIEMPO	 $  1.052.321 
080102	ESOFAGOGASTROPLASTIA/ESOFAGOCARDIOPLASTIA - VIA TORACICA	 $  318.924 
080103	ESOFAGUECTOMIA TOTAL UNICO TRATAMIENTO 1ER TIEMPO	 $  285.352 
080105	ESOFAGOGASTROPLASTIA/ESOFAGOCARDIOPLASTIA- VIA ABDOMINAL	 $  485.313 
080106	OPERACIONES DERIVATIVAS PALIATIVAS ESOFAGOGASTRO O ESOFAGOYEYUNOANASTOMOSIS	 $  702.486 
080107	TRATAMIENTO ATRESIA ESOFAGICA DE USO NEO PEDIATRICO	 $  1.001.712 
080108	ESOFAGOTOMIA EXPLORADORA VIA TORACICA O ABDOMINAL	 $  711.143 
080109	ESCISION DE DIVERTICULO ESOFAGICO INTRATORACICO	 $  698.187 
080110	ESOFAGOTOMIA O ESOFAGORAFIA DE ESOFAGO CERVICAL	 $  295.242 
080111	ESCISION DE DIVERTICULO ESOFAGICO CERVICAL CON O SIN MIOTOMIA DEL EES	 $  193.771 
080113	COLOCACION DE PROTESIS ESOFAGICAS STENT ETC	 $  96.542 
080114	ESOFAGOGASTROPLASTIA ESOFAGOCARDIOPLASTIA POR VIDEO	 $  485.313 
080201	DERMOLIPECTOMIA ABDOMINAL CON O SIN RECONSTRUCCION DEL OMBLIGO -CON AUTORIZACION PREVIA-	 $  198.929 
080202	HERNIOPLASTIA DIAFRAGMATICA O ISQUIORRECTAL	 $  222.976 
080203	HERNIOPLASTIA INGUINAL CRURAL EPIGASTRICA UMBILICAL OBTURATRIZ	 $  234.928 
080204	TRATAMIENTO QUIRURGICO DEL ONFALOCELE	 $  239.885 
080205	HERNIOPLASTIA BILATERAL	 $  234.928 
080206	EVENTRACION HERNIA RECIDIVADA	 $  243.662 
080207	CIERRE DE PARED ABDOMINAL POR EVISCERACION	 $  211.725 
080208	LAPARATOMIA EXPLORADORA	 $  195.543 
080209	ENTEROLISIS DE BRIDAMIENTO INTESTINAL	 $  240.926 
080210	EVENTRACION HERNIA RECIDIVADA POR VIDEO	 $  243.662 
080211	LAPARASCOPIA CONVENCIONAL INCLUYE BIOPSIA DIRIGIDA	 $  206.451 
080212	PERITONEOCENTESIS EVACUADORA DIAGNOSTICA O PARA NEUMOPERITONEO	 $  31.717 
080213	ESCISION TUMOR RETROPERITONEAL	 $  309.292 
080214	DRENAJE ABSCESO SUBFRENICO POR CUALQUIER TECNICA	 $  280.924 
080215	HERNIOPLASTIA POR VIDEOLAPAROSCOPIA UNI O BILATERAL	 $  234.928 
080216	ESCISION TUMOR RETROPERITONEAL POR VIDEO	 $  309.292 
080217	VIDEOLAPAROSCOPIA CON BIOPSIA O DIAGNOSTICA	 $  95.538 
080301	GASTRECTOMIA TOTAL	 $  754.180 
080302	GASTRECTOMIA SUBTOTAL O REGASTRECTOMIA CON O SIN	 $  675.701 
080303	GASTROTOMIA EXPLORACION EXTRACCION CUERPO EXTRANO ESCICION LOCAL DE ULCERA O TUMOR BENIGNO	 $  203.673 
080304	GASTROSTOMIA COMO UNICA OPERACION	 $  166.035 
080305	GASTRORRAFIA ULCERA GASTRICA PERFORADA HERIDA TRAUMATISMO	 $  294.229 
080306	GASTRODUODENOSTOMIA GASTROYEYUNOSTOMIA	 $  444.997 
080307	VAGOTOMIA CON O SIN PILOROPLASTIA -POR CUALQUIER VIA-	 $  96.940 
080308	PILOROMIOTOMIA-PILOROPLASTIA	 $  209.273 
080309	CIERRE O ELIMINACION GASTROENTEROANASTOMOSIS	 $  288.604 
080310	CIERRE DE FISTULA GASTROCOLICA	 $  324.623 
080311	CIERRE DE GASTROSTOMIA U OTRA FISTULA EXTERNA DE ESTOMAGO	 $  324.623 
080312	GASTRECTOMIA TOTAL POR VIDEO	 $  328.277 
080313	GASTRECTOMIA SUBTOTAL O REGASTRECTOMIA POR VIDEO	 $  675.701 
080314	GASTROTOMIA EXPLORACION EXTRACCION CUERPO EXTRANO ESCICION LOCAL DE ULCERA O TUMOR BENIGNO POR VIDEO 	 $  203.673 
080315	GASTROSTOMIA COMO UNICA OPERACIÓN POR VIDEO	 $  166.035 
080320	MODULO CIRUGIA BARIATRICA POR BY PASS CONVENCIONAL 	 $  972.649 
080321	DERMOLIPECTOMIA RECONSTRUCTIVA DE ABDOMEN POST CX. BARIATRICA 	 $  230.874 
080322	MODULO CIRUGIA BARIATRICA POR BY PASS LAPAROSCOPICO 	 $  1.465.822 
080323	REVISION DE CIRUGIA RESTRICTIVA O BYPASS GASTRICO	 $  1.142.387 
080324	REVISION DE CX BARIATRICA (EXTRACC BANDA) 	 $  1.142.387 
080401	ENTERECTOMIA DE YEYUNO O ILEON	 $  318.909 
080402	ESCISION DIVERTICULO DE MECKEL	 $  216.508 
080403	ENTEROTOMIA ESTEROSTOMIA TEMPORARIA	 $  393.552 
080404	DERIVACIONES INTESTINALES INTERNAS	 $  422.594 
080405	OPERACION PLASTICA EN ILEOSTOMIA-CIERRE EN PLASTICO EN ILEOSTOMIA	 $  194.813 
080406	PLICATURA DE INTESTINO DELGADO OPERACION DE NOBLE	 $  194.813 
080407	GASTROSTOMIA POR FIBROSCOPIA CON BOTON	 $  166.035 
080408	ENTEROLISIS DE BRIDAMIENTO INTESTINAL POR VIDEO 	 $  240.926 
080409	CIRUGIA GASTRICA DE PROCESOS BENIGNOS POR VIDEOFIBROSCOPIA	 $  510.282 
080410	CIRUGIA GASTRICA DE PROCESOS MALIGNOS POR VIDEOFIBROSCOPIA	 $  534.338 
080411	ENTERECTOMIA DE YEYUNO O ILEON POR VIDEO	 $  318.909 
080412	DEVOLVULACION DE COLON POR LAPAROSTOMIA O LAPAROSCOPIA, CON O SIN COLOPEXIA	 $  541.693 
080501	COLECTOMIA TOTAL SIN RECTO-CON RESTITUCION DEL TRANSITO EN UN TIEMPO	 $  901.697 
080502	COLECTOMIA TOTAL SIN RECTO. CON ILEOSTOMIA TEMPORARIA O DEFINITIVA	 $  865.671 
080503	HEMICOLECTOMIA DERECHA O IZQUIERDA	 $  661.036 
080504	COLECTOMIA SEGMENTARIA RESECCION SEGMENTARIA DE COLON OPERACION DE HARTMAN	 $  661.036 
080505	RESECCION ANTERIOR -OPERACION DE DIXON O MAUNSEN	 $  671.012 
080507	HEMICOLECTOMIA DERECHA O IZQUIERDA POR VIDEOLAPAROSCOPIA	 $  661.036 
080508	COLON PROTECTOMIA TOTAL INCLUYE ILEOSTOMIA	 $  881.374 
080509	PROCTOSIGMOIDECTOMIA ABDOMINOPERINEAL OPERACION DE MILES	 $  918.092 
080511	PROTECTOMIA	 $  477.476 
080512	PROTECTOMIA CON PROSTATECTOMIA O COLPECTOMIA	 $  477.476 
080513	RECTOTOMIA SIGMOIDOTOMIA POR VIA ABDOMINAL	 $  440.710 
080514	PROCTOTOMIA CON DESCOMPRESION ANO IMPERFORADO	 $  137.090 
080515	DESCENSO TRANSANAL ATRESIA ANO RECTAL	 $  499.483 
080516	OPERACION PLASTICA EN MALFORMACIONES CONGENITAS ANORRECTALES	 $  881.374 
080518	PROCTORRAFIA	 $  374.330 
080519	PROCTOPEXIA PROLAPSO DE RECTO VIA ABDOMINAL	 $  271.853 
080520	CONFECCION O CIERRE DE FISTULAS RECTOVESICALES	 $  330.544 
080521	COLOSTOMIA TEMPORARIA O DEFINITIVA UNICA INTERVENCION	 $  381.982 
080522	OPERACION PLASTICA COLOSTOMIA - CIERRE DE COLOSTOMIA	 $  257.100 
080523	DRENAJE ABSCESO PERIRRECTAL DE DOUGLAS	 $  132.367 
080524	APENDICECTOMIA	 $  209.273 
080525	EXTRACCION INSTRUMENTAL DE FECALOMAS INACCESIBLES	 $  30.406 
080526	EXTRACCION MANUAL DE FECALOMA	 $  10.731 
080527	APENDICECTOMIA POR VIA LAPAROSCOPICA	 $  209.273 
080529	RESECCION ANTERIOR - OPERACIÓN DE DIXON POR VIDEO	 $  671.012 
080530	PROCTOSIGMOIDECTOMIA ABDOMINOPERINEAL OPERACION DE MILES POR VIDEO	 $  918.092 
080531	COLON PROTECTOMIA TOTAL INCLUYE ILEOSTOMIA POR VIDEO	 $  351.498 
080532	COLECTOMIA TOTAL POR VIDEO	 $  901.697 
080601	ANOPLASTIA ESTENOSIS CON O SIN ESFINTEROTOMIA	 $  140.906 
080602	ANOPLASTIA POR ESTENOSIS CON DESLIZAMIENTO DE COLGAJOS	 $  140.906 
080603	ESFINTEROPLASTIA CUALQUIER TECNICA	 $  185.660 
080605	CERCLAJE DE ANO	 $  97.505 
080606	HEMORROIDECTOMIA CON O SIN FISURA ANAL	 $  151.556 
080607	TROMBECTOMIA INFARTECTOMIA TROMBOSIS HEMORROIDARIA	 $  31.356 
080608	TRATAMIENTO QUIRURGICO DEL PROLAPSO MUCOSO OPERACION DE WHIT	 $  155.045 
080609	TRATAMIENTO HEMORROIDES CON LIGADURA ELASTICA	 $  43.800 
080610	TRATAMIENTO ESCLEROSANTE EN HEMORROIDES	 $  11.580 
080611	FISTULECTOMIA O FISTULOTOMIA FISTULA DEL CANAL ANAL	 $  124.402 
080612	FISURECTOMIA CRIPTECTOMIA O PAPILECTOMIA	 $  114.584 
080613	ESFINTEROTOMIA COMO UNICA OPERACION	 $  114.584 
080614	ESCISION DE LESION DE PIEL PERIANAL	 $  11.662 
080615	FULGURACION RADICAL DE CONDILOMAS ACUMINADOS	 $  11.211 
080616	INCISION DRENAJE DE ABSCESO PERIANAL	 $  24.707 
080617	TRATAMIENTO RADICAL DEL ABSCESO PERIANAL CON RESECCION DE CRIPTADE ORIGEN	 $  40.376 
080618	TRATAMIENTO DE LAS LESIONES RECTOANALES CON ULTRASONIDO -ASA DE LEEP O SIMILARES-	 $  39.989 
080619	PROCTOPROMONTOPEXIA POR VIDEO	 $  143.875 
080701	LOBECTOMIA HEPATICA	 $  1.009.915 
080702	SEGMENTECTOMIA HEPATICA	 $  1.009.915 
080703	HEPATECTOMIA PARCIAL ESCISION RADICAL LESION DE HIGADO QUISTE TUMOR ETC.	 $  721.339 
080704	HEPATOSTOMIA MARSUPIALIZACION DE QUISTES	 $  339.079 
080705	SUTURA DE HIGADO POR TRAUMATISMO HERIDA	 $  360.742 
080707	COLECISTOSTOMIA	 $  222.976 
080708	SECCION DE AMPOLLA DE VATER TRANSDUODENAL	 $  91.221 
080709	COLEDOCOTOMIA UNICO TRATAMIENTO	 $  252.558 
080710	ANASTOMOSIS BILIODIGESTIVAS SIMPLES	 $  541.068 
080711	ANASTOMOSIS BILIODIGESTIVAS COMPLEJAS	 $  901.697 
080712	OPERACIONES REPARADORAS DE LA VIA BILIAR	 $  721.339 
080713	EXTRACCION INSTRUMENTAL COMPLETA DE CALCULOS	 $  185.324 
080714	COLECISTECTOMIA CON O SIN COLEDOCOTOMIA-CUALQUIER VIA	 $  258.994 
080715	BIOPSIA DE HIGADO POR CUALQUIER VIA	 $  145.373 
080720	DILATACION Y DRENAJE DE VIA BILIAR PERCUTANEA -EXCLUYE MATERIALES DESCARTABLES-	 $  68.978 
080722	COLANGIOPANCREATOGRAFIA RETROGRADA ENDOSCOPICA DIAGNOSTICA	 $  110.048 
080723	COLANGIOPANCREATOGRAFIA RETROGRADA ENDOSCOPICA TERAPEUTICA  CON PAPILOTOMIA-INCLUYE MAT DESCARTABLES 	 $  253.523 
080724	COLOCACION DE STENT BILIAR 	 $  184.660 
080725	LOBECTOMIA HEPATICA POR VIDEO	 $  1.009.915 
080726	SEGMENTECTOMIA HEPATICA POR VIDEO	 $  1.009.915 
080727	COLEDOCOTOMIA UNICO TRATAMIENTO POR VIDEO	 $  252.558 
080728	ANASTOMOSIS BILIODIGESTIVAS SIMPLES POR VIDEO 	 $  541.068 
080729	ANASTOMOSIS BILIODIGESTIVAS COMPEJAS POR VIDEO	 $  541.068 
080730	OPERACIONES REPARADORAS DE LA VIA BILIAR POR VIDEO	 $  721.339 
080801	DUODENOPANCREATECTOMIA	 $  954.842 
080802	ANASTOMOSIS PANCREATICODIGESTIVAS	 $  734.477 
080803	ESCISION LOCAL LESION PANCREAS ADENOMA	 $  624.399 
080804	ESCISION CORPOROCAUDAL ESPLENOPANCREATECTOMIA	 $  881.374 
080805	SUTURA DE PANCREAS HERIDA TRAUMATISMO BIOPSIA	 $  624.399 
080806	BIOPSIA DE PANCREAS POR PUNCION	 $  82.501 
080807	DUODENOPANCREATECTOMIA POR VIDEO	 $  954.842 
080808	ESCISION LOCAL LESION  PANCREAS POR VIDEO	 $  269.624 
080809	ESCISION CORPOROCAUDAL ESPLENOPANCREATECTOMIA POR VIDEO	 $  881.374 
080901	ESPLENECTOMIA UNICA INTERVENCION	 $  277.542 
080902	PUNCION ESPLENICA PERCUTANEA ESPLENOPORTOGRAFIA	 $  145.501 
080903	ESPLENECTOMIA UNICA INTERVENCION POR VIDEO	 $  277.542 
	OPERACIONES EN LOS VASOS Y GANGLIOS LINFATICOS	
090101	LINFADENECTOMIA CERVICAL AXILAR O INGUINAL	 $  231.782 
090103	ESCISION DE LESION DE CONDUCTOS LINFATICOS	 $  113.105 
090104	DRENAJE DE SENO LINFATICO DERIVACION	 $  213.872 
090105	BIOPSIA DE GANGLIO LINFATICO -HASTA 5 GANGLIOS-	 $  37.231 
090106	LINFADENOTOMIA	 $  14.073 
090107	BIOPSIA DE GANGLIO LINFATICO POR PUNCION	 $  14.073 
090109	LINFADENECTOMIA CERVICAL AXILAR O INGUINAL POR VIDEO	 $  231.782 
090201	ESTUDIO DE GANGLIO CENTINELA CON COLORANTE	 $  91.272 
	OPERACIONES EN EL APARATO URINARIO Y GENITAL MASCULINO	
100101	NEFRECTOMIA TOTAL O PARCIAL  CUALQUIER TECNICA UTILIZADA	 $  538.002 
100103	NEFROURETERECTOMIA TOTAL CON CISTECTOMIA PARCIAL	 $  849.718 
100104	NEFROTOMIA NEFROSTOMIA NEFROPEXIA	 $  271.596 
100106	NEFRECTOMIA VIDEOLAPAROSCOPICA	 $  538.002 
100109	BIOPSIA RENAL PERCUTANEA  PIELOGRAFIA PERCUTANEA	 $  111.431 
100110	PLASTIA UNION URETEROPIELICA - CUALQUIER TECNICA	 $  441.533 
100111	DERIVACIONES URETERALES A INTESTINO IN SITU	 $  520.441 
100112	DERIVACIONES URETERALES A PORCIONES INTESTINALES AISLADAS	 $  520.441 
100113	URETERECTOMIA PARCIAL	 $  204.323 
100114	PIELOTOMIA PIELOLITOTOMIA URETEROTOMIA	 $  201.121 
100116	TRATAMIENTO QUIRURGICO FISTULA URETEROINTESTINAL	 $  350.431 
100118	COLOCACION DE PIGTAIL/ DOBLE J ENDOSCOPICO	 $  214.790 
100119	RETIRO DE PIGTAIL O DOBLE J ENDOSCOPICO	 $  25.719 
100120	NEFROSTOMIA PERCUTANEA UNILATERAL EXCLUYE PIGTAIL	 $  156.182 
100123	URETEROLITOTOMIA LAPAROSCOPICA CON PINZA O DORMIA	 $  248.723 
100201	CISTECTOMIA TOTAL CON DERIVACION URETERAL A ASA DELGADA O COLON O NEOVEJIGA	 $  888.382 
100203	CISTECTOMIA PARCIAL DIVERTICULECTOMIA RESECCION DE CUELLO VESICAL	 $  176.925 
100204	CISTOPLASTIA CON COLON O ILIOCISTOPLASTIA	 $  851.360 
100205	CISTOPLASTIA PARA LA EXTROFIA VESICAL	 $  279.328 
100206	TRATAMIENTO QUIRURGICO DE LA FISTULA VESICOINTESTINAL	 $  257.043 
100207	TRATAMIENTO QUIRURGICO FISTULA VESICOCUTANEA	 $  147.906 
100208	CISTOTOMIA A CIELO ABIERTO EXTRACCION DE CUERPO EXTRANO	 $  152.176 
100209	CISTOTOMIA POR PUNCION CON TROCAR	 $  102.793 
100210	RESECCION ENDOSCOPICA CUELLO VESICAL TUMORES	 $  233.330 
100211	TRATAMIENTO INCONTINENCIA DE ORINA MUJER POR VIA VAGINA	 $  272.756 
100212	TRATAMIENTO INCONTINENCIA DE ORINA VIA ABDOMINAL EN LA MUJER OPERACION DE MARSHALL MARCHETTI O SIMILAR	 $  272.756 
100214	TRATAMIENTO DE LA INCONTINENCIA URINARIA CON COLOCACION DE SLING	 $  272.756 
100215	TRATAMIENTO CON BOTOX PARA VEJIGA HIPERACTIVA	 $  21.923 
100220	CISTECTOMIA RADICAL CON DERIVACION URINARIA 2 EQUIPOS	 $  968.043 
100301	EPISPADIAS O HIPOSPADIAS POR TIEMPO OPERATORIO	 $  277.873 
100302	URETROPLASTIA POR TRAUMATISMO CORRECCION DE FISTULA URETRORECTAL O VAGINAL ESTRECHEZ URETRAL	 $  389.591 
100303	URETROTOMIA EXTERNA DERIVATIVA POR EXTRACCION DE CALCULO URETROTOMIA INTERNA	 $  102.949 
100304	URETRORRAFIA	 $  403.746 
100305	MEATOTOMIA	 $  22.795 
100306	ELECTROCOAGULACION ENDOSCOPICA DE TUMORES URETRALES	 $  119.927 
100310	URETROPLASTIA TERMINO TERMINAL	 $  389.591 
100311	URETROPLASTIA CON INJERTOS O COLGAJOS 2 EQUIPOS	 $  902.373 
100401	PROSTATECTOMIA RADICAL	 $  637.333 
100402	ADENOMECTOMIA DE PROSTATA CON O SIN VASECTOMIA BILATERAL	 $  323.020 
100403	RESECCIONES DE FIBROSIS Y CICATRICES DEL CUELLO VESICAL	 $  212.084 
100404	RESECCION ENDOSCOPICA TRASURETRAL PROSTATA	 $  286.479 
100405	VESICULECTOMIA UNICA OPERACION UNI O BILATERAL	 $  154.124 
100407	BIOPSIA PROSTATICA POR PUNCION	 $  74.283 
100501	ORQUIDECTOMIA UNILATERAL COMPLETA CON VACIAMIENTO	 $  531.159 
100502	ORQUIDECTOMIA SUB-ALBUGINEA UNI O BILATERAL	 $  136.243 
100504	ORQUIDOPEXIA UNILATERAL CUALQUIER TECNICA CON O SIN TRATAMIENTO DE HERNIA CONCOMITANTE	 $  196.819 
100505	ORQUIDOPEXIA BILATERAL CON O SIN TRATAMIENTO DE HERNIA CONCOMITANTE	 $  196.902 
100506	TRATAMIENTO QUIRURGICO HIDROCELE VARICOCELE TORSION	 $  116.325 
100507	BIOPSIA DE TESTICULO	 $  85.387 
100508	ESCROTOPLASTIA	 $  89.594 
100509	DRENAJE DE ABSCESO TESTICULAR LESION LOCAL DE TESTICULO	 $  28.322 
100510	COLOCACION DE PROTESIS TESTICULAR UNILATERAL CUALQUIER TECNICA	 $  191.026 
100601	EPIDIDIMECTOMIA UNI O BILATERAL	 $  114.584 
100606	BIOPSIA DE EPIDIDIMO	 $  85.387 
100607	VASECTOMIA LIGADURA DE CONDUCTO DEFERENTE	 $  127.551 
100701	AMPUTACION COMPLETA O  PARCIAL DE PENE CON O SIN VACIAMIENTO CUALQUIER TECNICA	 $  359.269 
100703	OPERACION PLASTICA DEL PENE POR TIEMPO OPERATORIO	 $  98.154 
100704	ESCISION TOTAL DE LESION DE PENE	 $  27.536 
100705	BIOPSIA DE PENE	 $  11.573 
100706	CAVERNOSTOMIA PUNCION CUERPOS CAVERNOSOS	 $  26.152 
100707	RESECCION DE ESCLEROSIS EN CUERPOS CAVERNOSO	 $  204.323 
100708	SHUNT CAVERNO-ESPONJOSO O CAVERNO-SAFENO	 $  177.918 
100709	POSTIOPLASTIA FIMOSIS - INCLUYE FRENULOTOMIA	 $  85.057 
100710	CIRCUNCISION	 $  85.057 
100711	INCISION DORSAL O LATERAL PREPUCIO FRENULOTOMIA	 $  28.322 
101102	TRATAMIENTO ENDOSCOPICO DE LESIONES DE PROSTATA Y VEJIGA POR MEDIOS FISICOS Y QUIMICOS	 $  286.479 
	OPERACIONES DEL APARATO GENITAL FEMENINO Y OPERACIONES OBSTETRICAS 	
110101	CIRUGIA SOBRE ANEXOS CUALQUIER TECNICA	 $  214.225 
110102	LAPAROSCOPIA DIAGNOSTICA	 $  90.205 
110103	CELIOSCOPIA CULDOSCOPIA O LAPARASCOPIA	 $  39.795 
110104	LIGADURA DE TROMPAS CUALQUIER TECNICA	 $  181.740 
110601	MODULO 1. TRATAMIENTO INTEGRAL MÉDICO AMBULATORIO. IVE CON MEDICAMENTOS 	 $  50.446 
110602	MÓDULO 2. TRATAMIENTO IVE INTEGRAL MÉDICO QUIRÚRGICO	 $  126.117 
110603	MÓDULO 3. TRATAMIENTO ILE MÉDICO-QUIRÚRGICO. MODO PARTO CON LEGRADO POSTERIOR	 $  180.168 
110105	MICROCIRUGIA TUBARIA PARA TRATAMIENTO DE ESTERILIDAD CUALQUIER TECNICA	 $  116.910 
110201	HISTERECTOMIA RADICAL COLPOANEXOHISTERECTOMIA TOTAL	 $  344.927 
110202	EXENTERACION PELVIANA OPERACION DE BRUSGWIG	 $  363.908 
110203	HISTERECTOMIA CON O SIN ANEXECTOMIA POR VIA ABDOMINAL O VAGINAL CON O SIN COLPOPERINEORRAFIA	 $  239.905 
110204	MIOMECTOMIA UTERINA CUALQUIER VIA Y/O CUALQUIER TECNICA 	 $  177.288 
110230	CIRUGÍA CÁNCER DE OVARIO (OMENTECTOMÍA, LINFANECTOMÍA, HISTERECTOMÍA)  	 $  482.830 
110206	HISTERECTOMIA LAPAROSCOPICA	 $  239.905 
110207	HISTERORRAFIA FUERA DEL PARTO	 $  96.999 
110208	OPERACION CORRECTORA DE MALFORMACIONES UTERINAS	 $  162.513 
110209	CORRECCION QUIRURGICA DE LA INVERSION UTERINA POR VIA ABDOMINAL HISTEROPEXIA	 $  181.324 
110210	RASPADO UTERINO TERAPEUTICO	 $  100.922 
110211	RASPADO UTERINO DIAG CON/SIN BIOPSIA DE CUELLO O ASPIRACION ENDOMETRIAL PARA CITOLOGIA EXFOLIATIVA	 $  46.082 
110212	AMPUTACION DE CUELLO TRAQUELECTOMIA TRAQUELOPLASTIA	 $  96.999 
110213	CONIZACION DE CUELLO	 $  107.291 
110214	TRAQUELORRAFIA FUERA DEL PARTO CERCLAJE DE CUELLO UTERINO	 $  101.218 
110215	ESCISION DE LESION LOCAL DE CUELLO - POLIPO CUALQUIER TECNICA 	 $  24.966 
110216	EXTRACCION DE DISPOSITIVO INTRAUTERINO	 $  19.273 
110217	COLOCACION DE DISPOSITIVO INTRAUTERINO	 $  23.121 
110218	VIDEOLAPAROSCOPIA GINECOLOGICA DIAGNOSTICA	 $  110.066 
110219	VIDEOLAPAROSCOPIA GINECOL. TERAPEUT. 	 $  153.276 
110220	ASPIRACION MANUAL ENDOUTERINA (AMEU)	 $  48.961 
110221	LESION DE CUELLO CONIZACION CON ASA DE LEEP Y/O CRIOCIRUGIA	 $  75.498 
110224	RESECCION POLIPO UTERINO X HISTEROSCOPIA	 $  212.084 
110225	RESECCION MIOMA SUBMUCOSO UTERINO X HISTEROSCOPIA	 $  168.807 
110226	CIRUGIA DE PROLAPSO POR CUALQUIER VIA (INCLUYE PROTESIS)	 $  240.927 
110227	CIRUGIA COMPLEJA DE ENDOMETRIOSIS POR VIDEO -2 EQUIPOS QUIRURGICOS 	 $  570.609 
110228	CIRUGIA GINECOLOGICA TRICOMPARTIMENTAL DE PROLAPSO- 2 EQUIPOS QUIRURGICOS (INCLUYE PROTESIS )	 $  697.415 
110229	COLPOPEXIA VÍA LAPAROSCÓPICA  	 $  295.583 
110301	TRATAMIENTO QUIRURGICO DE LA AGENESIA VAGINAL	 $  604.410 
110303	COLPORRAFIA ANTERIOR Y/O POSTERIOR CON O SIN AMPUTACION DE CUELLO INCLUYE TRATAMIENTO DE LA INCONTINENCIA URINARIA	 $  177.158 
110304	COLPORRAFIA POR HERIDA O DESGARRO FUERA DEL PARTO	 $  96.999 
110305	COLPORRAFIA POSTERIOR CON RECONSTRUCCIONDEL ESFINTER DEL	 $  177.804 
110306	COLPOPEXIA POR VIA ABDOMINAL	 $  181.740 
110307	COLPOPEXIA COMBINADA POR VIA ABDOMINAL Y VAGINAL	 $  282.646 
110308	COLPOCLEISIS	 $  78.920 
110309	COLPOTOMIA VAGINOTOMIA DE DRENAJE	 $  44.660 
